CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2016-0705,Double-free,True,asn1,AAH053,SecAdv https://www.openssl.org/news/secadv/20160301.txt,Fix https://github.com/openssl/openssl/commit/ab4a81f69ec88d06c9d8de15326b9296d7f498ed, asn1.
CVE-2016-2842,Buffer overflow,True,asn1parse,AAH054,Details https://guidovranken.com/2016/02/27/openssl-cve-2016-0799-heap-corruption-via-bio_printf/,Fix https://github.com/openssl/openssl/commit/a801bf263849a2ef773e5bc0c86438cbba720835," asn1parse.   Requires a large file (>2GB) to trigger, or controlled memory attrition."
CVE-2016-0799,Buffer overflow,False,asn1parse,,,,"Could not determine trigger condition. The commit reported as a fix is actually a fix for CVE-2016-2842. Only part of the commit is supposed to be a fix for this CVE, though I could not determine when the fault could actually occur."
CVE-2016-2108,Buffer underflow,True,asn1 (or asn1parse?),AAH055,SecAdv https://www.openssl.org/news/secadv/20160503.txt Report https://mta.openssl.org/pipermail/openssl-dev/2016-March/005614.html,Fix1 https://github.com/openssl/openssl/commit/3661bb4e7934668bd99ca777ea8b30eedfafa871 Fix2 https://github.com/openssl/openssl/commit/f5da52e308a6aeea6d5f3df98c4da295d7e9cc27, asn1.    
CVE-2016-6309,Use-after-free,True,server (ssl statem),AAH056,SecAdv https://www.openssl.org/news/secadv/20160926.txt,Fix https://github.com/openssl/openssl/commit/acacbfa7565c78d2273c0b2a2e5e803f44afefeb,
CVE-2016-0798,Memory leak,False,srp,,,Fix https://github.com/openssl/openssl/commit/259b664f950c2ba66fbf4b0fe5281327904ead21,Too much refactoring involved.
CVE-2016-2109,Resource exhaustion (mem),True,asn1 (bio?),AAH057,SecAdv https://www.openssl.org/news/secadv/20160503.txt Report https://hackerone.com/reports/134880,Fix https://github.com/openssl/openssl/commit/c62981390d6cf9e3d612c489b8b77c2913b25807,
CVE-2016-2176,Stack buffer overread,True,x509,AAH058,SecAdv https://www.openssl.org/news/secadv/20160503.txt Report https://hackerone.com/reports/135946,Fix https://github.com/openssl/openssl/commit/ea96ad5a206b7b5f25dad230333e8ff032df3219,
CVE-2016-6304,Resource exhaustion (mem),True,server,AAH059,SecAdv https://www.openssl.org/news/secadv/20160922.txt Report https://hackerone.com/reports/216840,Fix https://github.com/openssl/openssl/commit/e408c09bbf7c3057bda4b8d20bec1b3a7771c15b,
CVE-2010-3864,Data race + buffer overflow,False,server,,,,Somewhat complex.
